Skóre: 2, obtížnost: lehká
Skóre: 1, obtížnost: lehká
Skóre: 2, obtížnost: lehká, hráč: negr
Skóre: 1, obtížnost: střední, hráč: pusynka
Skóre: 5, obtížnost: střední, hráč: pusinka
Skóre: 8, obtížnost: lehká, hráč: mojemama
Skóre: 2, obtížnost: lehká, hráč: radecekpusicek
Skóre: 6, obtížnost: lehká, hráč: radecek
Skóre: 0, obtížnost: lehká, hráč: filipek
Skóre: 27, obtížnost: lehká, hráč: kojek
Skóre: 24, obtížnost: lehká, hráč: kojek
Skóre: 28, obtížnost: lehká, hráč: kojek
Skóre: 1, obtížnost: lehká, hráč: fdfdf
Skóre: 21, obtížnost: nejtěžší, hráč: tomask
Skóre: 1, obtížnost: lehká, hráč: Radecek
Skóre: 0, obtížnost: lehká, hráč: fgfdg
Skóre: 0, obtížnost: lehká, hráč: fgfdg
Skóre: 0, obtížnost: lehká, hráč: fgfdg
Skóre: 0, obtížnost: lehká, hráč: fgfdg
Skóre: 0, obtížnost: lehká, hráč: fgfdg
Skóre: 0, obtížnost: lehká, hráč: fgfdg
Skóre: 1, obtížnost: lehká, hráč: fgfdg
Skóre: 1, obtížnost: lehká, hráč: fgfdg
Skóre: 19, obtížnost: lehká, hráč: dds
Skóre: 0, obtížnost: lehká, hráč: dds
Skóre: 0, obtížnost: lehká, hráč: radek¨
Skóre: 0, obtížnost: lehká, hráč: radek¨
Skóre: 0, obtížnost: lehká, hráč: radek¨
Skóre: 1, obtížnost: lehká, hráč: radek¨
Skóre: 12, obtížnost: lehká, hráč: sdsd
Skóre: 0, obtížnost: lehká, hráč: sdsd
Skóre: 1, obtížnost: lehká, hráč: xcfv
Skóre: 20, obtížnost: hardcore, hráč: xc
Skóre: 22, obtížnost: nejtěžší, hráč: df
Skóre: 0, obtížnost: lehká, hráč: sd
Skóre: 2, obtížnost: lehká, hráč: asdsa
Skóre: 0, obtížnost: lehká, hráč: hvh
Skóre: 0, obtížnost: lehká, hráč: hvh
Skóre: 0, obtížnost: lehká, hráč: hvh
Skóre: 0, obtížnost: lehká, hráč: hvh
Skóre: 0, obtížnost: lehká, hráč: hvh
Skóre: 0, obtížnost: nejtěžší, hráč: ads
